fts_cohort,fts_sub_consolidated,free_trial_fts,non_uploader,fts_refund_chargeback,renewal_refund_chargeback,renewal_gross,fts_gross,fts_net,renewal_net,net_gross_retention,net_net_retention,gross_gross_retention,gross_net_retention,predicted_retention
2018-01-01,business,0,0,22,3.0,162.0,218,196.0,159.0,0.7293577981651376,0.8112244897959183,0.7431192660550459,0.826530612244898,0
2018-01-01,business,0,1,9,4.0,109.0,138,129.0,105.0,0.7608695652173914,0.813953488372093,0.7898550724637681,0.8449612403100775,0
2018-01-01,business,1,1,2,0.0,1.0,3,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0
2018-01-01,other,0,0,8,2.0,50.0,63,55.0,48.0,0.7619047619047619,0.8727272727272727,0.7936507936507936,0.9090909090909091,0
2018-01-01,other,0,1,6,3.0,20.0,28,22.0,17.0,0.6071428571428571,0.7727272727272727,0.7142857142857143,0.9090909090909091,0
2018-01-01,plus yearly,0,0,185,205.0,6608.0,8498,8313.0,6403.0,0.7534714050364791,0.7702393840971972,0.7775947281713345,0.7948995549139901,0
2018-01-01,plus yearly,0,1,269,77.0,2541.0,3377,3108.0,2464.0,0.7296416938110749,0.7927927927927928,0.752442996742671,0.8175675675675675,0
2018-01-01,plus yearly,1,1,5,2.0,19.0,41,36.0,17.0,0.4146341463414634,0.4722222222222222,0.4634146341463415,0.5277777777777778,0
2018-01-01,pro,0,0,88,42.0,1354.0,1773,1685.0,1312.0,0.7399887196841511,0.7786350148367952,0.763677382966723,0.8035608308605341,0
2018-01-01,pro,0,1,90,26.0,686.0,945,855.0,660.0,0.6984126984126984,0.7719298245614035,0.725925925925926,0.8023391812865497,0
2018-01-01,pro,1,0,0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0
2018-01-01,pro,1,1,3,0.0,13.0,20,17.0,13.0,0.65,0.7647058823529411,0.65,0.7647058823529411,0
2018-02-01,business,0,0,26,10.0,195.0,248,222.0,185.0,0.7459677419354839,0.8333333333333334,0.7862903225806451,0.8783783783783784,0
2018-02-01,business,0,1,20,4.0,103.0,145,125.0,99.0,0.6827586206896552,0.792,0.7103448275862069,0.824,0
2018-02-01,business,1,1,1,0.0,2.0,3,2.0,2.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0
2018-02-01,other,0,0,6,2.0,40.0,50,44.0,38.0,0.76,0.8636363636363636,0.8,0.9090909090909091,0
2018-02-01,other,0,1,4,1.0,24.0,29,25.0,23.0,0.7931034482758621,0.92,0.8275862068965517,0.96,0
2018-02-01,plus yearly,0,0,164,192.0,6907.0,9069,8905.0,6715.0,0.7404344470173118,0.7540707467714767,0.7616054691807256,0.7756316676024705,0
2018-02-01,plus yearly,0,1,245,79.0,2482.0,3386,3141.0,2403.0,0.7096869462492617,0.7650429799426934,0.7330183106910809,0.7901942056669851,0
2018-02-01,plus yearly,1,0,0,0.0,2.0,2,2.0,2.0,1.0,1.0,1.0,1.0,0
2018-02-01,plus yearly,1,1,14,1.0,34.0,66,52.0,33.0,0.5,0.6346153846153846,0.5151515151515151,0.6538461538461539,0
2018-02-01,premium yearly,0,0,2,0.0,11.0,14,12.0,11.0,0.7857142857142857,0.9166666666666666,0.7857142857142857,0.9166666666666666,0
2018-02-01,premium yearly,0,1,0,0.0,4.0,7,7.0,4.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0
2018-02-01,pro,0,0,95,45.0,1322.0,1751,1656.0,1277.0,0.7292975442604226,0.7711352657004831,0.7549971444888635,0.7983091787439613,0
2018-02-01,pro,0,1,75,20.0,610.0,859,784.0,590.0,0.6868451688009313,0.7525510204081632,0.710128055878929,0.7780612244897959,0
2018-02-01,pro,1,1,0,0.0,10.0,11,11.0,10.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0
2018-03-01,business,0,0,16,5.0,182.0,232,216.0,177.0,0.7629310344827587,0.8194444444444444,0.7844827586206896,0.8425925925925926,0
2018-03-01,business,0,1,23,5.0,115.0,159,136.0,110.0,0.6918238993710691,0.8088235294117647,0.7232704402515723,0.8455882352941176,0
2018-03-01,business,1,1,3,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0
2018-03-01,other,0,0,5,4.0,50.0,61,56.0,46.0,0.7540983606557377,0.8214285714285714,0.819672131147541,0.8928571428571429,0
2018-03-01,other,0,1,4,4.0,13.0,23,19.0,9.0,0.391304347826087,0.47368421052631576,0.5652173913043478,0.6842105263157895,0
2018-03-01,plus yearly,0,0,193,216.0,6887.0,8885,8692.0,6671.0,0.7508159819921215,0.7674873446847676,0.7751266178953292,0.7923377818683848,0
2018-03-01,plus yearly,0,1,267,76.0,2357.0,3299,3032.0,2281.0,0.6914216429220976,0.7523087071240105,0.7144589269475599,0.7773746701846965,0
2018-03-01,plus yearly,1,0,0,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0
2018-03-01,plus yearly,1,1,26,5.0,38.0,90,64.0,33.0,0.36666666666666664,0.515625,0.4222222222222222,0.59375,0
2018-03-01,premium yearly,0,0,8,3.0,34.0,68,60.0,31.0,0.45588235294117646,0.5166666666666667,0.5,0.5666666666666667,0
2018-03-01,premium yearly,0,1,8,3.0,28.0,45,37.0,25.0,0.5555555555555556,0.6756756756756757,0.6222222222222222,0.7567567567567568,0
2018-03-01,pro,0,0,81,47.0,1525.0,2002,1921.0,1478.0,0.7382617382617382,0.769390942217595,0.7617382617382618,0.7938573659552316,0
2018-03-01,pro,0,1,99,31.0,733.0,968,869.0,702.0,0.7252066115702479,0.807825086306099,0.7572314049586777,0.8434982738780207,0
2018-03-01,pro,1,0,0,0.0,2.0,2,2.0,2.0,1.0,1.0,1.0,1.0,0
2018-03-01,pro,1,1,2,2.0,15.0,26,24.0,13.0,0.5,0.5416666666666666,0.5769230769230769,0.625,0
2018-04-01,business,0,0,30,6.0,171.0,225,195.0,165.0,0.7333333333333333,0.8461538461538461,0.76,0.8769230769230769,0
2018-04-01,business,0,1,14,4.0,94.0,126,112.0,90.0,0.7142857142857143,0.8035714285714286,0.746031746031746,0.8392857142857143,0
2018-04-01,business,1,0,1,0.0,0.0,1,0.0,0.0,0.0,,0.0,,0
2018-04-01,business,1,1,0,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0
2018-04-01,other,0,0,3,1.0,50.0,61,58.0,49.0,0.8032786885245902,0.8448275862068966,0.819672131147541,0.8620689655172413,0
2018-04-01,other,0,1,4,0.0,16.0,24,20.0,16.0,0.6666666666666666,0.8,0.6666666666666666,0.8,0
2018-04-01,plus yearly,0,0,156,176.0,5777.0,7590,7434.0,5601.0,0.7379446640316205,0.7534301856335754,0.761133069828722,0.7771051923594297,0
2018-04-01,plus yearly,0,1,236,54.0,1985.0,2777,2541.0,1931.0,0.6953546993158084,0.7599370326643053,0.7148001440403313,0.7811885084612358,0
2018-04-01,plus yearly,1,0,1,0.0,1.0,1,0.0,1.0,1.0,inf,1.0,inf,0
2018-04-01,plus yearly,1,1,7,0.0,23.0,43,36.0,23.0,0.5348837209302325,0.6388888888888888,0.5348837209302325,0.6388888888888888,0
2018-04-01,premium yearly,0,0,17,3.0,53.0,87,70.0,50.0,0.5747126436781609,0.7142857142857143,0.6091954022988506,0.7571428571428571,0
2018-04-01,premium yearly,0,1,11,3.0,43.0,69,58.0,40.0,0.5797101449275363,0.6896551724137931,0.6231884057971014,0.7413793103448276,0
2018-04-01,pro,0,0,80,37.0,1405.0,1815,1735.0,1368.0,0.7537190082644628,0.7884726224783861,0.7741046831955923,0.8097982708933718,0
2018-04-01,pro,0,1,81,21.0,646.0,900,819.0,625.0,0.6944444444444444,0.7631257631257631,0.7177777777777777,0.7887667887667887,0
2018-04-01,pro,1,0,0,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0
2018-04-01,pro,1,1,7,2.0,11.0,20,13.0,9.0,0.45,0.6923076923076923,0.55,0.8461538461538461,0
2018-05-01,business,0,0,19,5.0,180.0,242,223.0,175.0,0.7231404958677686,0.7847533632286996,0.743801652892562,0.8071748878923767,0
2018-05-01,business,0,1,17,7.0,94.0,130,113.0,87.0,0.6692307692307692,0.7699115044247787,0.7230769230769231,0.831858407079646,0
2018-05-01,business,1,0,0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0
2018-05-01,business,1,1,2,0.0,0.0,2,0.0,0.0,0.0,,0.0,,0
2018-05-01,other,0,0,3,5.0,58.0,73,70.0,53.0,0.726027397260274,0.7571428571428571,0.7945205479452054,0.8285714285714286,0
2018-05-01,other,0,1,3,1.0,27.0,33,30.0,26.0,0.7878787878787878,0.8666666666666667,0.8181818181818182,0.9,0
2018-05-01,plus yearly,0,0,148,194.0,6041.0,7916,7768.0,5847.0,0.7386306215260232,0.7527033985581875,0.7631379484588175,0.7776776519052523,0
2018-05-01,plus yearly,0,1,238,67.0,2045.0,2870,2632.0,1978.0,0.689198606271777,0.7515197568389058,0.7125435540069687,0.7769756838905775,0
2018-05-01,plus yearly,1,0,0,0.0,3.0,3,3.0,3.0,1.0,1.0,1.0,1.0,0
2018-05-01,plus yearly,1,1,3,0.0,12.0,24,21.0,12.0,0.5,0.5714285714285714,0.5,0.5714285714285714,0
2018-05-01,premium yearly,0,0,22,4.0,69.0,123,101.0,65.0,0.5284552845528455,0.6435643564356436,0.5609756097560976,0.6831683168316832,0
2018-05-01,premium yearly,0,1,11,0.0,39.0,61,50.0,39.0,0.639344262295082,0.78,0.639344262295082,0.78,0
2018-05-01,pro,0,0,88,48.0,1427.0,1862,1774.0,1379.0,0.7406015037593985,0.7773393461104848,0.7663802363050484,0.8043968432919955,0
2018-05-01,pro,0,1,90,25.0,693.0,927,837.0,668.0,0.7206040992448759,0.7980884109916367,0.7475728155339806,0.8279569892473119,0
2018-05-01,pro,1,0,0,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0
2018-05-01,pro,1,1,2,0.0,10.0,15,13.0,10.0,0.6666666666666666,0.7692307692307693,0.6666666666666666,0.7692307692307693,0
2018-06-01,business,0,0,18,5.0,167.0,222,204.0,162.0,0.7297297297297297,0.7941176470588235,0.7522522522522522,0.8186274509803921,0
2018-06-01,business,0,1,22,7.0,120.0,163,141.0,113.0,0.6932515337423313,0.8014184397163121,0.7361963190184049,0.851063829787234,0
2018-06-01,business,1,1,0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0
2018-06-01,other,0,0,6,4.0,56.0,78,72.0,52.0,0.6666666666666666,0.7222222222222222,0.717948717948718,0.7777777777777778,0
2018-06-01,other,0,1,5,3.0,36.0,56,51.0,33.0,0.5892857142857143,0.6470588235294118,0.6428571428571429,0.7058823529411765,0
2018-06-01,plus yearly,0,0,113,137.0,5300.0,6874,6761.0,5163.0,0.7510910677916788,0.7636444312971454,0.7710212394530114,0.7839077059606567,0
2018-06-01,plus yearly,0,1,239,57.0,1856.0,2642,2403.0,1799.0,0.6809235427706283,0.7486475239284228,0.7024981074943225,0.772367873491469,0
2018-06-01,plus yearly,1,0,0,0.0,2.0,3,3.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
2018-06-01,plus yearly,1,1,1,2.0,18.0,25,24.0,16.0,0.64,0.6666666666666666,0.72,0.75,0
2018-06-01,premium yearly,0,0,25,6.0,66.0,103,78.0,60.0,0.5825242718446602,0.7692307692307693,0.6407766990291263,0.8461538461538461,0
2018-06-01,premium yearly,0,1,10,2.0,41.0,63,53.0,39.0,0.6190476190476191,0.7358490566037735,0.6507936507936508,0.7735849056603774,0
2018-06-01,pro,0,0,62,36.0,1374.0,1742,1680.0,1338.0,0.7680826636050516,0.7964285714285714,0.7887485648679678,0.8178571428571428,0
2018-06-01,pro,0,1,70,14.0,587.0,801,731.0,573.0,0.7153558052434457,0.7838577291381669,0.7328339575530587,0.8030095759233926,0
2018-06-01,pro,1,0,0,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0
2018-06-01,pro,1,1,1,0.0,12.0,15,14.0,12.0,0.8,0.8571428571428571,0.8,0.8571428571428571,0
2018-07-01,business,0,0,23,3.0,193.0,239,216.0,190.0,0.7949790794979079,0.8796296296296297,0.8075313807531381,0.8935185185185185,0
2018-07-01,business,0,1,14,2.0,99.0,137,123.0,97.0,0.708029197080292,0.7886178861788617,0.7226277372262774,0.8048780487804879,0
2018-07-01,business,1,1,5,1.0,1.0,8,3.0,0.0,0.0,0.0,0.125,0.3333333333333333,0
2018-07-01,other,0,0,6,8.0,74.0,98,92.0,66.0,0.673469387755102,0.717391304347826,0.7551020408163265,0.8043478260869565,0
2018-07-01,other,0,1,20,0.0,68.0,139,119.0,68.0,0.4892086330935252,0.5714285714285714,0.4892086330935252,0.5714285714285714,0
2018-07-01,plus yearly,0,0,117,108.0,4981.0,6532,6415.0,4873.0,0.7460195958358848,0.7596258768511301,0.7625535823637477,0.7764614185502728,0
2018-07-01,plus yearly,0,1,183,43.0,1727.0,2449,2266.0,1684.0,0.6876276031033075,0.7431597528684908,0.7051857901184156,0.7621359223300971,0
2018-07-01,plus yearly,1,0,0,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0
2018-07-01,plus yearly,1,1,6,0.0,14.0,25,19.0,14.0,0.56,0.7368421052631579,0.56,0.7368421052631579,0
2018-07-01,premium yearly,0,0,18,5.0,81.0,113,95.0,76.0,0.672566371681416,0.8,0.7168141592920354,0.8526315789473684,0
2018-07-01,premium yearly,0,1,16,2.0,47.0,78,62.0,45.0,0.5769230769230769,0.7258064516129032,0.6025641025641025,0.7580645161290323,0
2018-07-01,pro,0,0,59,35.0,1292.0,1666,1607.0,1257.0,0.7545018007202882,0.7822028624766646,0.7755102040816326,0.8039825762289982,0
2018-07-01,pro,0,1,92,14.0,578.0,816,724.0,564.0,0.6911764705882353,0.7790055248618785,0.7083333333333334,0.7983425414364641,0
2018-07-01,pro,1,0,0,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0
2018-07-01,pro,1,1,4,0.0,7.0,12,8.0,7.0,0.5833333333333334,0.875,0.5833333333333334,0.875,0
2018-08-01,business,0,0,20,4.0,213.0,268,248.0,209.0,0.7798507462686567,0.842741935483871,0.7947761194029851,0.8588709677419355,0
2018-08-01,business,0,1,14,4.0,108.0,136,122.0,104.0,0.7647058823529411,0.8524590163934426,0.7941176470588235,0.8852459016393442,0
2018-08-01,business,1,1,3,0.0,1.0,4,1.0,1.0,0.25,1.0,0.25,1.0,0
2018-08-01,other,0,0,7,1.0,56.0,83,76.0,55.0,0.6626506024096386,0.7236842105263158,0.6746987951807228,0.7368421052631579,0
2018-08-01,other,0,1,12,0.0,63.0,122,110.0,63.0,0.5163934426229508,0.5727272727272728,0.5163934426229508,0.5727272727272728,0
2018-08-01,plus yearly,0,0,145,111.0,5209.0,6752,6607.0,5098.0,0.7550355450236966,0.7716058725594067,0.7714751184834123,0.7884062358105041,0
2018-08-01,plus yearly,0,1,231,63.0,1942.0,2793,2562.0,1879.0,0.6727533118510562,0.7334113973458236,0.6953097028284998,0.7580015612802498,0
2018-08-01,plus yearly,1,0,0,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0
2018-08-01,plus yearly,1,1,3,1.0,15.0,23,20.0,14.0,0.6086956521739131,0.7,0.6521739130434783,0.75,0
2018-08-01,premium yearly,0,0,19,3.0,68.0,110,91.0,65.0,0.5909090909090909,0.7142857142857143,0.6181818181818182,0.7472527472527473,0
2018-08-01,premium yearly,0,1,15,2.0,44.0,79,64.0,42.0,0.5316455696202531,0.65625,0.5569620253164557,0.6875,0
2018-08-01,pro,0,0,77,43.0,1357.0,1745,1668.0,1314.0,0.7530085959885386,0.7877697841726619,0.7776504297994269,0.8135491606714629,0
2018-08-01,pro,0,1,105,22.0,591.0,826,721.0,569.0,0.6888619854721549,0.7891816920943134,0.715496368038741,0.8196948682385575,0
2018-08-01,pro,1,0,0,0.0,4.0,4,4.0,4.0,1.0,1.0,1.0,1.0,0
2018-08-01,pro,1,1,5,0.0,7.0,16,11.0,7.0,0.4375,0.6363636363636364,0.4375,0.6363636363636364,0
2018-09-01,business,0,0,37,7.0,217.0,297,260.0,210.0,0.7070707070707071,0.8076923076923077,0.7306397306397306,0.8346153846153846,0
2018-09-01,business,0,1,16,3.0,118.0,157,141.0,115.0,0.732484076433121,0.8156028368794326,0.7515923566878981,0.8368794326241135,0
2018-09-01,business,1,1,0,2.0,4.0,5,5.0,2.0,0.4,0.4,0.8,0.8,0
2018-09-01,other,0,0,5,2.0,63.0,87,82.0,61.0,0.7011494252873564,0.7439024390243902,0.7241379310344828,0.7682926829268293,0
2018-09-01,other,0,1,11,3.0,99.0,151,140.0,96.0,0.6357615894039735,0.6857142857142857,0.6556291390728477,0.7071428571428572,0
2018-09-01,plus yearly,0,0,180,152.0,5527.0,7131,6951.0,5375.0,0.7537512270368812,0.7732700330887642,0.7750666105735521,0.7951373903035535,0
2018-09-01,plus yearly,0,1,293,50.0,1992.0,2870,2577.0,1942.0,0.6766550522648084,0.7535894450911913,0.6940766550522648,0.7729918509895227,0
2018-09-01,plus yearly,1,0,0,0.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0
2018-09-01,plus yearly,1,1,5,1.0,21.0,35,30.0,20.0,0.5714285714285714,0.6666666666666666,0.6,0.7,0
2018-09-01,premium yearly,0,0,28,7.0,85.0,129,101.0,78.0,0.6046511627906976,0.7722772277227723,0.6589147286821705,0.8415841584158416,0
2018-09-01,premium yearly,0,1,20,4.0,62.0,84,64.0,58.0,0.6904761904761905,0.90625,0.7380952380952381,0.96875,0
2018-09-01,pro,0,0,70,42.0,1295.0,1643,1573.0,1253.0,0.7626293365794279,0.7965670692943421,0.7881923311016433,0.8232676414494596,0
2018-09-01,pro,0,1,109,19.0,574.0,826,717.0,555.0,0.6719128329297821,0.7740585774058577,0.6949152542372882,0.800557880055788,0
2018-09-01,pro,1,1,2,0.0,9.0,17,15.0,9.0,0.5294117647058824,0.6,0.5294117647058824,0.6,0
2018-10-01,business,0,0,44,6.0,250.0,342,298.0,244.0,0.7134502923976608,0.8187919463087249,0.7309941520467836,0.8389261744966443,0
2018-10-01,business,0,1,18,3.0,133.0,181,163.0,130.0,0.7182320441988951,0.7975460122699386,0.7348066298342542,0.8159509202453987,0
2018-10-01,business,1,1,5,0.0,3.0,8,3.0,3.0,0.375,1.0,0.375,1.0,0
2018-10-01,other,0,0,5,1.0,62.0,88,83.0,61.0,0.6931818181818182,0.7349397590361446,0.7045454545454546,0.7469879518072289,0
2018-10-01,other,0,1,10,7.0,76.0,120,110.0,69.0,0.575,0.6272727272727273,0.6333333333333333,0.6909090909090909,0
2018-10-01,other,1,0,0,1.0,1.0,1,1.0,0.0,0.0,0.0,1.0,1.0,0
2018-10-01,other,1,1,2,0.0,5.0,13,11.0,5.0,0.38461538461538464,0.45454545454545453,0.38461538461538464,0.45454545454545453,0
2018-10-01,plus yearly,0,0,258,157.0,6268.0,8117,7859.0,6111.0,0.752864358753234,0.7775798447639649,0.7722064802266847,0.7975569410866522,0
2018-10-01,plus yearly,0,1,319,74.0,2372.0,3340,3021.0,2298.0,0.6880239520958084,0.7606752730883813,0.7101796407185629,0.7851704733531943,0
2018-10-01,plus yearly,1,1,2,0.0,14.0,27,25.0,14.0,0.5185185185185185,0.56,0.5185185185185185,0.56,0
2018-10-01,premium yearly,0,0,31,5.0,106.0,175,144.0,101.0,0.5771428571428572,0.7013888888888888,0.6057142857142858,0.7361111111111112,0
2018-10-01,premium yearly,0,1,22,2.0,61.0,100,78.0,59.0,0.59,0.7564102564102564,0.61,0.782051282051282,0
2018-10-01,pro,0,0,101,41.0,1529.0,1932,1831.0,1488.0,0.7701863354037267,0.8126706717640634,0.7914078674948241,0.8350628072091754,0
2018-10-01,pro,0,1,122,26.0,634.0,904,782.0,608.0,0.672566371681416,0.7774936061381074,0.7013274336283186,0.8107416879795396,0
2018-10-01,pro,1,0,0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0
2018-10-01,pro,1,1,2,0.0,10.0,17,15.0,10.0,0.5882352941176471,0.6666666666666666,0.5882352941176471,0.6666666666666666,0
2018-11-01,business,0,0,42,10.0,225.0,295,253.0,215.0,0.7288135593220338,0.849802371541502,0.7627118644067796,0.8893280632411067,0
2018-11-01,business,0,1,16,3.0,118.0,166,150.0,115.0,0.6927710843373494,0.7666666666666667,0.7108433734939759,0.7866666666666666,0
2018-11-01,business,1,0,0,0.0,1.0,2,2.0,1.0,0.5,0.5,0.5,0.5,0
2018-11-01,business,1,1,2,0.0,4.0,7,5.0,4.0,0.5714285714285714,0.8,0.5714285714285714,0.8,0
2018-11-01,other,0,0,2,2.0,33.0,48,46.0,31.0,0.6458333333333334,0.6739130434782609,0.6875,0.717391304347826,0
2018-11-01,other,0,1,4,1.0,43.0,58,54.0,42.0,0.7241379310344828,0.7777777777777778,0.7413793103448276,0.7962962962962963,0
2018-11-01,other,1,0,0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0
2018-11-01,other,1,1,18,7.0,70.0,149,131.0,63.0,0.4228187919463087,0.48091603053435117,0.4697986577181208,0.5343511450381679,0
2018-11-01,plus yearly,0,0,201,145.0,6037.0,7800,7599.0,5892.0,0.7553846153846154,0.7753651796288985,0.773974358974359,0.7944466377154888,0
2018-11-01,plus yearly,0,1,263,76.0,2593.0,3553,3290.0,2517.0,0.7084154235857022,0.7650455927051671,0.729805797917253,0.788145896656535,0
2018-11-01,plus yearly,1,1,6,0.0,22.0,41,35.0,22.0,0.5365853658536586,0.6285714285714286,0.5365853658536586,0.6285714285714286,0
2018-11-01,premium yearly,0,0,25,9.0,122.0,174,149.0,113.0,0.6494252873563219,0.7583892617449665,0.7011494252873564,0.8187919463087249,0
2018-11-01,premium yearly,0,1,22,12.0,144.0,205,183.0,132.0,0.6439024390243903,0.7213114754098361,0.7024390243902439,0.7868852459016393,0
2018-11-01,pro,0,0,82,31.0,1442.0,1825,1743.0,1411.0,0.7731506849315068,0.8095238095238095,0.7901369863013699,0.8273092369477911,0
2018-11-01,pro,0,1,94,30.0,741.0,1019,925.0,711.0,0.6977428851815506,0.7686486486486487,0.7271835132482827,0.8010810810810811,0
2018-11-01,pro,1,1,8,0.0,9.0,21,13.0,9.0,0.42857142857142855,0.6923076923076923,0.42857142857142855,0.6923076923076923,0
2018-12-01,business,0,0,22,4.0,185.0,239,217.0,181.0,0.7573221757322176,0.8341013824884793,0.7740585774058577,0.8525345622119815,0
2018-12-01,business,0,1,18,1.0,79.0,117,99.0,78.0,0.6666666666666666,0.7878787878787878,0.6752136752136753,0.797979797979798,0
2018-12-01,business,1,1,2,0.0,4.0,8,6.0,4.0,0.5,0.6666666666666666,0.5,0.6666666666666666,0
2018-12-01,other,0,0,5,3.0,26.0,35,30.0,23.0,0.6571428571428571,0.7666666666666667,0.7428571428571429,0.8666666666666667,0
2018-12-01,other,0,1,1,1.0,44.0,54,53.0,43.0,0.7962962962962963,0.8113207547169812,0.8148148148148148,0.8301886792452831,0
2018-12-01,other,1,0,0,0.0,4.0,5,5.0,4.0,0.8,0.8,0.8,0.8,0
2018-12-01,other,1,1,13,0.0,49.0,124,111.0,49.0,0.3951612903225806,0.44144144144144143,0.3951612903225806,0.44144144144144143,0
2018-12-01,plus yearly,0,0,176,127.0,4882.0,6401,6225.0,4755.0,0.7428526792688642,0.763855421686747,0.7626933291673176,0.7842570281124498,0
2018-12-01,plus yearly,0,1,261,59.0,1889.0,2735,2474.0,1830.0,0.6691042047531993,0.7396928051738076,0.6906764168190128,0.7635408245755861,0
